command,prompt,output
test,check if file is executable,test -x /path/to/script
true,return successful exit status,true
false,return unsuccessful exit status,false
uptime,show system uptime,uptime
df,show disk space usage,df -h
du,show directory space usage,du -sh /home/*
cat,display file contents,cat filename
return,exit a shell function with status,return 0
bash,run bash shell,bash
id,get user ID,id
id,get numeric user ID,id -u
id,get group ID,id -g
id,show all user and group information,id -a
mkdir,create a directory,mkdir temp
cd,change directory,cd temp
du,show disk usage for a directory,du -sh /home
du,show disk usage for home directory,du -sh $HOME
echo,print text to standard output,"echo ""Hello World"""
echo,print text to standard error,"echo ""Error message"" >&2"
exit,exit script with status code,exit 1
test,check if file exists,[ -f filename ]
test,check if directory exists,[ -d dirname ]
read,read user input,"read -p ""Enter name: "" name"
read,read input with prompt,"read -p ""Enter age: "" age"
read,read input with character limit,"read -n 1 -p ""Continue? (y/n): "" choice"
read,read input in raw mode,read -r input_line
read,read input into array,read -a array_name
read,read input from user,read input_var
read,read input with prompt,"read -p ""Enter value: "" input_var"
read,read input with timeout,read -t 10 input_var
read,read secret/hidden input,read -s secret_pass
read,read multiple variables,read var1 var2 var3
echo,display text to screen,"echo ""Hello World"""
echo,display text without newline,"echo -n ""Enter value: """
grep,search file for pattern,"grep ""pattern"" filename"
grep,search file case-insensitive,"grep -i ""pattern"" filename"
grep,count matches in file,"grep -c ""pattern"" filename"
grep,show line numbers,"grep -n ""pattern"" filename"
grep,search multiple files,"grep ""pattern"" file1 file2"
df,show disk space usage,df
df,show human-readable sizes,df -h
du,show directory space usage,du
du,show summary of directory,du -sh
id,show user identity,id
id,show numeric user ID,id -u
uptime,show system uptime,uptime
wc,count words in file,wc filename
wc,count lines in file,wc -l filename
date,display current date and time,date
date,show specific date format,"date +""%Y-%m-%d"""
date,display date in UTC,date -u
date,show day of the week,"date +""%A"""
date,display date with time zone,"date +""%c %Z"""
cal,display current month's calendar,cal
cal,show calendar for specific year,cal 2024
cal,display 3-month calendar view,cal -3
cal,show previous/next month,cal -1
cal,display Julian calendar,cal -j
df,show disk space usage,df
df,display human-readable sizes,df -h
df,show filesystem type,df -T
df,display total disk usage,df -t
df,exclude specific filesystem type,df -x tmpfs
free,display memory usage,free
free,show memory in human-readable format,free -h
free,display memory in kilobytes,free -k
free,show total memory usage,free -t
free -m,show memory in megabytes,free -m
exit,end terminal session,exit
exit,close all terminal windows,exit -f
pwd,print current working directory,pwd
pwd,resolve symbolic links,pwd -P
pwd,print logical path,pwd -L
pwd,print full path,pwd -e
cd,change to home directory,cd
cd,change to specific directory,cd /path/to/directory
cd,move up one directory,cd ..
cd,go to previous directory,cd -
cd,change to root directory,cd /
ls,list files in current directory,ls
ls,show all hidden files,ls -a
ls,show detailed file information,ls -l
ls,show files sorted by time,ls -t
ls,show all files with human-readable sizes,ls -lah
bash,start bash shell,bash
bash,run bash script,bash script.sh
bash,check script syntax,bash -n script.sh
bash,execute commands from string,"bash -c ""command"""
bash,run bash in debug mode,bash -x
konsole,open KDE terminal emulator,konsole
konsole,open terminal with specific profile,konsole --profile myprofile
konsole,start terminal in fullscreen,konsole --fullscreen
konsole,run command in new terminal,konsole -e command
konsole,set window title,"konsole --title ""My Terminal"""
gnome-terminal,open GNOME terminal,gnome-terminal
gnome-terminal,run command in new window,gnome-terminal -x command
gnome-terminal,create new tab,gnome-terminal --tab
gnome-terminal,set window geometry,gnome-terminal --geometry 80x24
gnome-terminal,disable menu bar,gnome-terminal --hide-menubar
cat,display file contents,cat filename.txt
cat,concatenate multiple files,cat file1.txt file2.txt
cat,display file contents with line numbers,cat -n filename.txt
cat,create a new file with content,cat > newfile.txt
cat,append content to an existing file,cat >> existingfile.txt
echo,print text to console,"echo ""Hello World"""
echo,print environment variable,echo $HOME
echo,print multiple arguments,echo arg1 arg2 arg3
echo,disable interpretation of backslash escapes,"echo -n ""No newline"""
echo,print text with color,"echo -e ""\e[31mRed Text\e[0m"""
read,read user input,read userInput
read,read input with prompt,"read -p ""Enter name: "" name"
read,read input with timeout,read -t 5 userInput
read,read input with character limit,read -n 3 shortInput
read,read input silently (password),read -s password
uptime,show system uptime,uptime
uptime,show uptime with more details,uptime -p
uptime,show uptime since last boot,uptime -s
uptime,show load averages,uptime
uptime,show login time,uptime -l
df,show disk space usage,df
df,show disk space in human-readable format,df -h
df,show disk space for specific filesystem,df /home
df,show inode information,df -i
df,show total disk space,df -l
du,show disk usage for current directory,du
du,show disk usage in human-readable format,du -h
du,show total disk usage,du -sh
du,show disk usage for specific directory,du -h /home
du,show disk usage for all subdirectories,du -h --max-depth=1
id,show current user ID,id
id,show numeric user ID,id -u
id,show user and group information,id $USER
id,show group IDs,id -G
id,show real and effective user/group IDs,id -r
sleep,pause script execution for seconds,sleep 5
sleep,pause with minutes,sleep 2m
sleep,pause with hours,sleep 1h
sleep,pause with fractional seconds,sleep 0.5
sleep,pause with multiple time units,sleep 1m 30s
sort,sort lines of text,sort filename.txt
sort,sort numerically,sort -n numbers.txt
sort,sort in reverse order,sort -r filename.txt
sort,sort unique lines,sort -u filename.txt
sort,sort by specific column,sort -k2 filename.txt
echo,display simple text message,"echo ""Hello World"""
echo,display text to standard error,"echo ""Error message"" >&2"
echo,display variable value,"echo ""$HOME"""
echo,display multiple arguments,echo First Second Third
echo,display text with special characters,"echo ""Line with \""quotes\"""""
read,prompt user for input,"read -p ""Enter name: "" username"
read,read input with timeout,"read -t 5 -p ""Enter quickly: "" response"
read,read input into specific variable,read input_var
read,read multiple variables,read first last age
read,read with hidden input,read -s password
df,show disk space usage,df -h
df,show disk space for specific filesystem,df -h /home
df,show disk space in megabytes,df -m
df,show inode information,df -i
df,show filesystem type,df -T
du,show disk usage for current directory,du -sh
du,show disk usage for specific directory,du -sh /home/*
du,show detailed disk usage,du -ah
du,show total disk usage,du -ch
du,show disk usage excluding certain files,du -sh --exclude=*.tmp
id,show current user ID,id
id,show numeric user ID,id -u
id,show group information,id -g
id,show all group memberships,id -G
id,show user and group names,id -un
uptime,show system uptime,uptime
uptime,show load averages,uptime -V
uptime,show short uptime info,uptime -p
set,set shell options,set -x
set,unset shell options,set +x
export,set environment variable,export PATH=$PATH:/new/path
export,create persistent variable,"export MYVAR=""value"""
export,show all exported variables,export -p
echo,print a simple message,"echo ""Hello"
echo,print environment variable,echo $HOSTNAME
echo,print to standard error,"echo ""Error message"" >&2"
uptime,show system uptime and load,uptime
uptime,show short uptime format,uptime -s
df,show disk space usage,df
df,show human-readable disk space,df -h
id,show current user ID,id
id,show numeric user ID,id -u
du,show disk usage of directory,du
du,show summary of disk usage,du -sh
basename,extract filename from path,basename /path/to/file.txt
basename,remove file extension,basename /path/to/file.txt .txt
file,determine file type,file filename
file,show mime type,file -i filename
stat,display file status,stat filename
stat,show format with custom output,"stat -f ""%a %b"" filename"
shift,move positional parameters,shift
shift,move multiple parameters,shift 2
read,read user input,read variable_name
read,read input with prompt,"read -p ""Enter name: "" name"
case,perform pattern matching,case $variable in pattern) commands;; esac
basename,extract filename from a path,basename /path/to/file.txt
date,get current date and time,date
date,format date in specific format,"date +""%Y-%m-%d"""
uptime,show system uptime,uptime
df,display disk space usage,df -h
du,estimate file space usage,du -sh /home/*
id,print user and group information,id -u
touch,create an empty file or update timestamp,touch newfile.txt
cat,display file contents,cat filename.txt
echo,print text to terminal,"echo ""Hello World"""
strings,find printable strings in a file,strings binary_file
wc,count lines, words
find,search for files in a directory,find /home -type f
cut,remove sections from lines,cut -f 1 filename.txt
printf,format and print data,"printf ""%s %d\n"" ""Value"" 42"
shift,shift positional parameters,shift
read,read input from user,"read -p ""Enter name: "" name"
echo,display text or variable value,"echo ""Hello World"""
echo,display variable contents,echo $HOME
echo,display multiple items,"echo ""User: $USER"
echo,display with formatting,"echo -e ""Line 1\nLine 2"""
echo,suppress newline,"echo -n ""No newline after this"""
bc,perform complex mathematical calculations,"echo ""5 * 3"" | bc"
bc,calculate floating point division,"echo ""scale=2; 10/3"" | bc"
bc,perform exponential calculations,"echo ""2^8"" | bc"
bc,calculate square root,"echo ""sqrt(16)"" | bc"
bc,perform complex math with precision,"echo ""scale=4; (10/3) * 2"" | bc"
time,measure execution time of a command,time ls
time,measure script runtime,time ./myscript.sh
time,display detailed timing information,time -v ls
time,output to file,time -o timelog.txt ls
time,format output,"time -f ""%E real"
strings,extract printable characters from binary files,strings /bin/ls
strings,show strings from specific file,strings myprogram
strings,limit string length,strings -n 10 myfile
strings,output to file,strings myprogram > strings.txt
strings,show encoding,strings -e l myfile
printf,print formatted output,"printf ""Hello %s\n"" ""World"""
printf,format numbers,"printf ""%05d\n"" 42"
printf,multiple arguments,"printf ""%s is %d years old\n"" ""Alice"" 30"
printf,floating point formatting,"printf ""%.2f\n"" 3.14159"
printf,color output,"printf ""\033[0;31mRed text\033[0m\n"""
bc,perform basic addition,"bc <<< ""2+2"""
bc,calculate complex mathematical expression,"bc <<< ""10 * (5 + 3)"""
bc,set decimal precision,"echo ""scale=2; 10/3"" | bc"
bc,perform power calculations,"bc <<< ""2^3"""
bc,do floating point math,"bc <<< ""10.5 + 20.3"""
stat,get file modification time,stat -c %y filename
stat,display file details,stat filename
stat,show file permissions,stat -c %a filename
stat,show file owner,stat -c %U filename
stat,show file size,stat -c %s filename
cut,extract specific column from text,cut -d' ' -f2 filename
cut,extract character range,cut -c1-5 filename
cut,select multiple columns,cut -d'
cut,use custom delimiter,cut -d':' -f1 /etc/passwd
cut,suppress lines without delimiter,cut -d'
basename,extract filename from path,basename /path/to/file.txt
basename,remove file extension,basename /path/to/file.txt .txt
basename,get script name,"basename ""$0"""
printf,print formatted text,"printf ""Hello %s\n"" world"
printf,format numbers,"printf ""%05d\n"" 42"
printf,print multiple values,"printf ""%s %d\n"" name 25"
printf,use custom formatting,"printf ""%.2f\n"" 3.14159"
printf,print with color,"printf ""\e[32mGreen text\e[0m\n"""
echo,print text to terminal,"echo ""Hello World"""
echo,print variable value,echo $HOME
echo,print multiple arguments,echo Hello World
echo,print with newline suppression,"echo -n ""No newline"""
echo,print with escape interpretation,"echo -e ""Line1\nLine2"""
ls,list files in current directory,ls
ls,show all hidden files,ls -a
ls,show detailed file information,ls -l
ls,show files sorted by time,ls -t
ls,show all files with human-readable sizes,ls -lah
cat,display file contents,cat filename.txt
cat,concatenate multiple files,cat file1.txt file2.txt
cat,number lines while displaying,cat -n filename.txt
cat,show non-printing characters,cat -A filename.txt
cat,append content to file,cat file1.txt >> newfile.txt
read,read user input into variable,read username
read,read input with prompt,"read -p ""Enter name: "" name"
read,read input with timeout,read -t 5 variable
read,read input with character limit,read -n 3 short_input
read,read input silently (password),read -s password
unset,remove variable,unset variable_name
unset,remove array element,unset 'array[2]'
unset,remove entire array,unset array
trap,ignore specific signal,"trap ""echo Ignored"" SIGINT"
trap,exit script on signal,"trap ""exit 0"" SIGINT"
trap,log signal before exit,"trap 'echo ""Interrupted""; exit 1' SIGINT"
mktemp,create unique temporary file,mktemp
mktemp,create unique temporary directory,mktemp -d
mktemp,specify template for temp file,mktemp /tmp/myfile.XXXXXX
basename,extract filename from path,basename /path/to/file.txt
sleep,pause script execution,sleep 5
sleep,pause with fractional seconds,sleep 0.5
mktemp,create a temporary file in /tmp,mktemp /tmp/foobar.XXXXXXXXXX
mktemp,create a temporary file with specific prefix,mktemp /tmp/myapp.XXXXXX
mktemp,create a temporary directory,mktemp -d /tmp/mydir.XXXXXX
mktemp,create a temporary file with custom location,mktemp $HOME/tmp/tempfile.XXXXXXXXXX
mktemp,create a temporary file and print its name,mktemp -p /tmp
mkdir,create a directory in home folder,mkdir $HOME/tmp
mkdir,create multiple nested directories,mkdir -p /path/to/deep/directory
mkdir,create directory with specific permissions,mkdir -m 755 newdir
mkdir,create multiple directories at once,mkdir dir1 dir2 dir3
mkdir,create directory with verbose output,mkdir -v newdir
wait,pause script until child process completes,wait $pid
wait,wait for multiple background processes,wait $(jobs -p)
wait,wait with timeout,wait -n
wait,wait for specific process ID,wait 1234
wait,wait and return exit status,wait -f $pid
mkfifo,create a named pipe,mkfifo mypipe
mkfifo,create named pipe with specific permissions,mkfifo -m 0644 mypipe
mkfifo,create multiple named pipes,mkfifo pipe1 pipe2 pipe3
mkfifo,create named pipe in specific directory,mkfifo /tmp/mypipe
mkfifo,verify named pipe creation,mkfifo pipe1 && ls -l pipe1
ls,list files in current directory,ls
ls,show all hidden files,ls -a
ls,show detailed file information,ls -l
ls,show files sorted by time,ls -t
ls,show all files with human-readable sizes,ls -lah
ls,list files in current directory,ls
ls,show all hidden files,ls -a
ls,show detailed file information,ls -l
ls,show files sorted by time,ls -t
ls,show all files with human-readable sizes,ls -lah
command,prompt,output
man,view manual page for a command,man ls
man,search for commands containing a keyword,man -k grep
man,display short description of a command,man -f chmod
man,show section of manual page,man 3 printf
man,display manual page in section 8,man 8 mount
command,prompt,output
cd,change to home directory,cd
cd,move to parent directory,cd ..
cd,change to specific directory,cd /var/log
cd,go to previous directory,cd -
cd,change to user's home directory,cd ~username
command,prompt,output
pwd,print current working directory,pwd
pwd,display physical path without symlinks,pwd -P
pwd,display logical path with symlinks,pwd -L
pwd,print working directory with environment context,pwd -e
pwd,verify current directory location,pwd
command,prompt,output
mkdir,create a new directory,mkdir newdir
mkdir,create multiple directories,mkdir dir1 dir2 dir3
mkdir,create nested directories,mkdir -p parent/child/grandchild
mkdir,set specific permissions when creating directory,mkdir -m 755 newdir
mkdir,create directory with verbose output,mkdir -v newproject
command,prompt,output
rm,remove a file,rm filename
rm,remove multiple files,rm file1 file2 file3
rm,remove directory and contents recursively,rm -r directory
rm,force remove without prompting,rm -f filename
rm,interactive removal with confirmation,rm -i filename
command,prompt,output
cp,copy a file,cp source destination
cp,copy multiple files to directory,cp file1 file2 file3 destination/
cp,copy directory recursively,cp -r sourcedir destdir
cp,preserve file attributes during copy,cp -p sourcefile destfile
cp,interactive copy with confirmation,cp -i sourcefile destfile
command,prompt,output
mv,move a file,mv sourcefile destination
mv,rename a file,mv oldname newname
mv,move multiple files,mv file1 file2 file3 destination/
mv,interactive move with confirmation,mv -i sourcefile destination
mv,verbose move with detailed output,mv -v sourcefile destination
command,prompt,output
touch,create an empty file,touch newfile
touch,update file timestamp,touch existingfile
touch,create multiple files,touch file1 file2 file3
touch,set specific timestamp,touch -t 202301011200 file
touch,change only access time,touch -a filename
command,prompt,output
chmod,add execute permission,chmod +x script.sh
chmod,remove write permission,chmod -w filename
chmod,set specific permissions,chmod 755 script.sh
chmod,recursive permission change,chmod -R 644 directory
chmod,modify group permissions,chmod g+w filename
command,prompt,output
chown,change file owner,chown newuser filename
chown,change owner and group,chown newuser:newgroup filename
chown,recursive ownership change,chown -R newuser:newgroup directory
chown,preserve existing permissions,chown -c newuser filename
chown,verbose ownership modification,chown -v newuser filename
vi,open a file for editing,vi filename.txt
vi,create a new file,vi newfile.txt
vi,edit file in read-only mode,vi -R filename.txt
vi,open file at specific line number,vi +10 filename.txt
vi,recover unsaved file,vi -r filename.txt
cut,extract first column from file,cut -f1 filename
cut,extract specific columns,cut -f2-4 filename
cut,extract columns using delimiter,cut -d: -f1 filename
cut,extract characters from line,cut -c1-5 filename
cut -c1-10 filename,get first 10 characters of each line,cut -c1-10 filename
paste,merge lines from multiple files,paste file1.txt file2.txt
paste,merge lines with custom delimiter,paste -d
paste,merge three files side by side,paste file1.txt file2.txt file3.txt
paste,merge lines vertically,paste -s file1.txt
paste,merge with tab delimiter,paste -d'\t' file1.txt file2.txt
grep,search for pattern in file,"grep ""pattern"" filename"
grep,case-insensitive search,"grep -i ""pattern"" filename"
grep,show line numbers,"grep -n ""pattern"" filename"
grep,count matches,"grep -c ""pattern"" filename"
grep,search multiple files,"grep ""pattern"" file1.txt file2.txt"
sed,replace text in file,sed 's/old/new/g' filename
sed,delete specific lines,sed '1
sed,print specific lines,sed -n '5
sed,replace first occurrence,sed 's/old/new/' filename
sed,edit file in-place,sed -i 's/old/new/g' filename
cd,change to home directory,cd
cd,change to specific directory,cd /path/to/directory
cd,change to parent directory,cd ..
cd,change to previous directory,cd -
cd,change to user's home directory,cd ~username
ls,list files in current directory,ls
ls,list all files including hidden,ls -a
ls,list files in long format,ls -l
ls,list files with human-readable sizes,ls -lh
ls,list files sorted by modification time,ls -lt
ls,list files with file type indicators,ls -F
file,determine file type of a single file,file filename
file,determine file type of multiple files,file file1 file2 file3
file,determine file type with more details,file -b filename
file,follow symbolic links,file -L filename
file,print mime type,file -i filename
less,view text file contents,less filename
less,search within file,less filename (then press / to search)
less,go to end of file in less,less filename (then press G)
less,go to beginning of file in less,less filename (then press g)
less,quit less viewer,less filename (then press q)
cd,change to home directory,cd ~
cd,change to root directory,cd /
cd,change to previous directory,cd -
cd,change to parent directory,cd ..
cd,change to specific directory,cd /path/to/directory
command,prompt,output
ls,list files in current directory,ls
ls,show all hidden files,ls -a
ls,show detailed file information,ls -l
ls,show files sorted by time,ls -t
ls,show all files with human-readable sizes,ls -lah
command,prompt,output
file,determine file type for single file,file filename
file,determine file type for multiple files,file file1 file2 file3
file,show mime type of files,file -i filename
file,follow symbolic links,file -L filename
file,print file system type,file -s filename
command,prompt,output
less,view text file contents,less filename
less,view file starting at specific line,less +10 filename
less,search within file,"less -p ""search term"" filename"
less,show line numbers,less -N filename
less,quit without clearing screen,less -X filename
command,prompt,output
mkdir,create single directory,mkdir newdir
mkdir,create multiple directories,mkdir dir1 dir2 dir3
mkdir,create nested directories,mkdir -p parent/child/grandchild
mkdir,set specific permissions,mkdir -m 755 newdir
mkdir,create directory with verbose output,mkdir -v newdir
command,prompt,output
cp,copy single file,cp source.txt destination.txt
cp,copy multiple files to directory,cp file1.txt file2.txt /destination/
cp,copy directory recursively,cp -r sourcedir destdir
cp,preserve file attributes,cp -p source.txt destination.txt
cp,interactive copy with confirmation,cp -i source.txt destination.txt
command,prompt,output
mv,rename single file,mv oldname.txt newname.txt
mv,move file to directory,mv file.txt /destination/
mv,move multiple files,mv file1.txt file2.txt /destination/
mv,interactive move with confirmation,mv -i file.txt /destination/
mv,verbose move operation,mv -v file.txt /destination/
command,prompt,output
rm,remove single file,rm filename.txt
rm,remove multiple files,rm file1.txt file2.txt
rm,remove directory recursively,rm -r directory
rm,force remove without prompting,rm -f filename.txt
rm,interactive remove with confirmation,rm -i filename.txt
command,prompt,output
ln,create symbolic link,ln -s /path/to/original /path/to/link
ln,create hard link,ln /path/to/original /path/to/link
ln,create symbolic link with relative path,ln -s ../original.txt linkname
ln,overwrite existing link,ln -sf /new/target existing_link
ln,create multiple links,ln -s file1.txt link1 file2.txt link2
cp,copy a single file,cp file1 file2
cp,copy a file with interactive confirmation,cp -i file1 file2
cp,copy multiple files to a directory,cp file1 file2 dir1
cp,copy all files from one directory to another,cp dir1/* dir2
cp,recursively copy a directory with all attributes,cp -a dir1 dir2
cp,copy files only if newer,cp -u file1 file2
cp,show verbose copy progress,cp -v file1 file2
mv,rename a file,mv oldname newname
mv,move a file to another directory,mv file1 dir1
mv,move multiple files to a directory,mv file1 file2 dir1
mv,move a directory,mv dir1 dir2
mv,move with interactive confirmation,mv -i file1 file2
mv,show verbose move progress,mv -v file1 dir1
mv,move only newer files,mv -u file1 file2
rm,delete a single file,rm file1
rm,delete multiple files,rm file1 file2
rm,delete a directory and its contents,rm -r dir1
rm,delete files with interactive confirmation,rm -i file1
rm,forcefully delete files without prompting,rm -f file1
rm,recursively delete directory without prompting,rm -rf dir1
rm,show verbose deletion progress,rm -v file1
ln,create a hard link,ln file1 link1
ln,create a symbolic link,ln -s file1 link1
ln,create a symbolic link to a directory,ln -s dir1 link1
ln,create multiple hard links,ln file1 link1 link2
ln,create hard links in different directories,ln file1 dir1/link1
mkdir,create a single directory,mkdir newdir
mkdir,create multiple directories,mkdir dir1 dir2
mkdir,create nested directories,mkdir -p parent/child/grandchild
mkdir,create directory with specific permissions,mkdir -m 755 newdir
mkdir,create directory and set owner,mkdir -p -m 755 -v newdir
cd,change to home directory,cd
cd,change to specific directory,cd /path/to/directory
cd,change to parent directory,cd ..
cd,change to previous directory,cd -
cd,change to user's home directory,cd ~username
cat,display file contents,cat filename.txt
cat,create new file with content,cat > newfile.txt
cat,concatenate multiple files,cat file1.txt file2.txt > combined.txt
cat,append content to file,cat >> existingfile.txt
cat,display file contents with line numbers,cat -n filename.txt
ls,list files in current directory,ls
ls,list all files including hidden,ls -a
ls,list files with detailed information,ls -l
ls,list files sorted by time,ls -t
ls,show file sizes in human-readable format,ls -lh
sort,sort lines of text alphabetically,sort filename.txt
sort,sort lines in reverse order,sort -r filename.txt
sort,sort numerically,sort -n numbers.txt
sort,sort and remove duplicates,sort -u filename.txt
sort,sort by specific column,sort -k2 filename.txt
uniq,remove duplicate lines,uniq filename.txt
uniq,count duplicate lines,uniq -c filename.txt
uniq,show only duplicate lines,uniq -d filename.txt
uniq,show only unique lines,uniq -u filename.txt
uniq,ignore case when checking duplicates,uniq -i filename.txt
wc,count lines in file,wc -l filename.txt
wc,count words in file,wc -w filename.txt
wc,count characters in file,wc -c filename.txt
wc,display lines/words/bytes,wc filename.txt
wc,count lines in multiple files,wc -l file1.txt file2.txt
grep,search file for pattern,"grep ""pattern"" filename.txt"
grep,search case-insensitive,"grep -i ""pattern"" filename.txt"
grep,show lines not matching pattern,"grep -v ""pattern"" filename.txt"
grep,show line numbers with matches,"grep -n ""pattern"" filename.txt"
grep,search multiple files,"grep ""pattern"" file1.txt file2.txt"
head,show first 10 lines of file,head filename.txt
head,show specific number of lines,head -n 5 filename.txt
head,show first 20 bytes,head -c 20 filename.txt
head,show first lines of multiple files,head file1.txt file2.txt
head,show first lines excluding last lines,head -n -5 filename.txt
tail,show last 10 lines of file,tail filename.txt
tail,show specific number of lines,tail -n 5 filename.txt
tail,follow file changes in real-time,tail -f logfile.txt
tail,show last 20 bytes,tail -c 20 filename.txt
tail,show lines excluding first lines,tail -n +5 filename.txt
tee,save pipeline output to file,command | tee output.txt
tee,append to file instead of overwriting,command | tee -a output.txt
tee,output to multiple files,command | tee file1.txt file2.txt
tee,display output and save,command | tee /dev/tty > output.txt
tee,use with sudo,"echo ""text"" | sudo tee /root/file.txt"
